,0,1,2,3,4
0,0.20331268811852002,0.12348609941245427,0.22873710069233974,0.018175317686558515,0.42628879409012743
1,0.41178549508280266,0.0038632088593006883,0.09250807185699728,0.030649102485299812,0.4611941217155995
2,0.8470758276828463,0.01688183058920927,0.12665323507838228,0.007644422422275726,0.0017446842272863465
3,0.7102775647808843,0.05377508492229934,0.06167768979688122,0.002017377911081909,0.17225228258885325
4,0.8473068114379008,0.10524169345805535,0.0004756665875190295,0.04201492400521661,0.004960904511308296
5,0.5019603500975336,0.12163232572499798,0.016962059406186964,0.3255370719443811,0.03390819282690047
6,0.00041510153274106683,0.11094158918478605,0.033035316707548834,0.3628450930267032,0.4927628995482207
7,0.09544393911792812,0.3042153271589436,0.08834159795661353,0.18062374388219002,0.33137539188432463
8,0.4035764177948821,0.23058254386532798,0.05760213588116221,0.3029001078017322,0.005338794656895539
9,0.3296593105171482,0.07324541987942132,0.11540702546719256,0.43158364269046856,0.050104601445769545
